USER,TWEET,posted_at,device_type,location_coordinates
U000473,T0001017,2022-09-07 22:06:31,Windows,
U000248,T0001018,2023-12-11 23:55:58,iPad,
U000424,T0001019,2025-02-12 03:24:16,,
U000602,T0001020,2023-09-17 18:04:28,Windows,"-38.483868,133.576461"
U000275,T0001021,2025-11-28 19:58:15,Web,"4.040837,84.061824"
U000296,T0001022,2023-12-27 22:55:59,Windows,"-82.712418,22.283829"
U000895,T0001023,2022-11-22 06:20:53,Android,"-89.8813755,-46.379265"
U000502,T0001024,2025-09-18 08:10:30,Mac,
U000697,T0001025,2024-08-06 07:55:49,,"-74.281039,157.111048"
U000958,T0001026,2022-10-11 00:59:27,Web,
U000710,T0001027,2023-09-10 21:23:02,iPad,
U000425,T0001028,2023-01-09 03:09:01,Mac,"-79.163680,154.527223"
U000580,T0001029,2022-03-27 17:03:18,Windows,
U000655,T0001030,2025-05-21 23:26:46,,"-82.2163715,-16.282338"
U000123,T0001031,2023-02-22 12:34:24,,"50.634083,145.261672"
U000602,T0001032,2025-04-09 11:58:12,Android,
U000381,T0001033,2023-03-02 12:57:53,Mac,
U000414,T0001034,2023-11-11 15:03:31,,
U000657,T0001035,2024-08-27 23:51:02,Mac,
U000320,T0001036,2022-04-18 20:39:01,Windows,"-28.9671995,93.140324"
U000567,T0001037,2022-01-21 23:26:31,iPad,"-2.9858505,28.696411"
U000643,T0001038,2024-08-11 06:38:18,iPad,
U000953,T0001039,2023-08-04 11:26:47,Web,
U000267,T0001040,2021-12-07 04:50:45,iPad,"-3.114210,-42.547088"
U000188,T0001041,2022-09-03 03:00:19,,
U000081,T0001042,2024-02-25 00:38:18,Android,
U000138,T0001043,2024-01-09 03:30:33,iPad,"25.1232775,-75.459031"
U000011,T0001044,2023-12-14 12:50:22,,
U000772,T0001045,2024-11-29 07:13:15,Mac,"-14.305802,172.460963"
U000250,T0001046,2024-08-27 10:26:45,Windows,"25.8019395,-52.018439"
U000372,T0001047,2025-01-15 20:31:22,,"-45.302443,-143.910882"
U000178,T0001048,2024-03-06 12:26:26,,
U000482,T0001049,2023-06-29 20:04:13,Windows,
U000401,T0001050,2023-01-04 15:38:20,Web,
U000317,T0001051,2023-04-02 14:22:48,iPhone,"32.077215,27.800697"
U000859,T0001052,2023-01-11 13:52:41,iPhone,
U000481,T0001053,2022-01-31 11:04:22,Android,"-74.938873,-168.343135"
U000537,T0001054,2025-09-30 14:22:06,,
U000391,T0001055,2022-11-09 12:38:19,Web,
U000806,T0001056,2025-01-11 16:38:48,iPad,
U000708,T0001057,2025-02-22 03:40:48,iPhone,"62.120770,9.067775"
U000554,T0001058,2025-01-17 02:19:28,,"-49.782143,10.516405"
U000689,T0001059,2023-11-07 12:38:56,Mac,
U000423,T0001060,2022-12-22 10:23:50,Windows,
U000941,T0001061,2023-01-04 14:54:37,Windows,"70.176231,115.466906"
U000097,T0001062,2022-04-02 18:21:02,Android,
U000815,T0001063,2025-02-17 22:45:02,Android,"-4.301768,115.216196"
U000403,T0001064,2025-02-23 02:38:10,Windows,"-44.1938505,-168.236346"
U000492,T0001065,2024-07-20 14:36:33,,
U000425,T0001066,2022-08-12 08:23:01,Web,"14.131915,171.270940"
U000011,T0001067,2023-07-16 12:24:07,,"20.1508815,38.513920"
U000051,T0001068,2025-05-24 14:59:33,Windows,"-80.6389085,42.884207"
U000032,T0001069,2025-10-05 05:55:51,iPad,
U000706,T0001070,2024-03-18 20:14:57,,"-35.620880,173.979449"
U000160,T0001071,2024-06-10 07:09:13,Windows,
U000459,T0001072,2022-04-14 22:11:04,Web,
U000597,T0001073,2024-10-06 21:03:44,iPhone,"-31.944169,-120.652574"
U000750,T0001074,2023-12-19 06:58:17,Web,
U000064,T0001075,2022-01-25 20:42:42,iPhone,
U000408,T0001076,2024-08-07 11:11:24,Web,"-61.294762,-111.322120"
U000815,T0001077,2022-10-07 19:36:42,iPhone,"-1.9050385,129.709359"
U000741,T0001078,2023-08-03 11:02:48,Mac,
U000174,T0001079,2023-05-05 18:13:03,Windows,
U000602,T0001080,2024-12-14 02:07:34,iPad,
U000252,T0001081,2023-02-27 08:54:05,iPhone,
U000424,T0001082,2022-04-28 20:51:58,Android,"-48.4481405,90.551157"
U000982,T0001083,2024-10-19 17:26:48,,"7.752074,-140.640003"
U000112,T0001084,2025-10-30 12:56:33,Windows,
U000952,T0001085,2024-05-23 00:32:01,iPhone,"-46.5901605,-66.786589"
U000577,T0001086,2023-05-24 10:31:45,Web,"71.052106,106.636540"
U000688,T0001087,2024-07-31 09:53:37,Web,"-3.132440,-164.597932"
U000492,T0001088,2023-12-29 14:11:58,,"-75.2192985,-106.905749"
U000941,T0001089,2023-10-27 00:22:42,iPad,
U000796,T0001090,2025-05-25 14:03:32,iPhone,"86.8023645,-85.980448"
U000093,T0001091,2022-03-23 12:39:10,Mac,
U000455,T0001092,2022-01-11 14:28:54,Android,"83.485023,174.378880"
U000667,T0001093,2022-10-19 13:08:27,Web,"-44.4301235,152.581012"
U000775,T0001094,2022-03-30 13:17:16,,"-58.370368,-80.572658"
U000594,T0001095,2022-10-15 03:55:12,iPhone,
U000426,T0001096,2023-08-27 22:25:20,Mac,"-22.738718,-18.861761"
U000420,T0001097,2023-07-31 10:27:32,,"-57.8058985,10.242927"
U000959,T0001098,2023-10-21 00:44:03,,"81.674493,-4.943256"
U000949,T0001099,2023-04-19 01:59:56,Android,"9.4307945,-2.924057"
U000967,T0001100,2023-03-20 12:46:29,,
U000633,T0001101,2024-12-29 13:41:05,iPad,
U000168,T0001102,2024-10-24 22:56:59,Android,"-33.373792,-144.620854"
U000793,T0001103,2025-06-01 04:03:32,Android,"74.107042,-28.423455"
U000431,T0001104,2022-01-26 01:42:49,iPad,"1.629027,-103.724845"
U000714,T0001105,2024-08-10 06:42:31,,
U000503,T0001106,2024-12-14 00:43:17,Android,"-80.1353305,-103.995478"
U000035,T0001107,2022-12-06 02:03:40,iPad,"61.5691065,101.341220"
U000250,T0001108,2025-03-10 15:31:06,,
U000605,T0001109,2023-08-17 21:53:32,Web,
U000563,T0001110,2025-07-09 04:07:20,iPad,"-9.4824245,106.520588"
U000677,T0001111,2023-09-08 06:11:54,,
U000440,T0001112,2021-12-09 09:46:28,iPhone,"45.9862125,-51.196895"
U000097,T0001113,2025-07-01 23:22:04,,"-0.5488705,-41.015515"
U000860,T0001114,2024-06-27 00:23:30,Android,
U000797,T0001115,2025-01-30 00:31:59,iPhone,"42.2078455,18.437014"
U000529,T0001116,2025-04-17 10:26:16,,
U000396,T0001117,2023-11-21 20:07:09,,
U000788,T0001118,2022-10-17 18:57:22,iPhone,
U000688,T0001119,2022-01-15 16:45:02,,"-79.119619,40.825861"
U000532,T0001120,2025-05-30 18:53:59,Web,
U000777,T0001121,2024-11-13 23:20:56,Windows,
U000250,T0001122,2024-05-09 10:05:41,Mac,
U000993,T0001123,2022-11-26 11:43:43,,"22.9068525,-132.626662"
U000110,T0001124,2022-05-24 02:00:14,Web,"60.0361265,11.369972"
U000070,T0001125,2025-05-14 14:06:53,Android,
U000359,T0001126,2022-02-13 07:42:49,Windows,"41.4718435,-6.898106"
U000812,T0001127,2023-09-30 12:28:51,Web,"76.0154995,-2.632940"
U000990,T0001128,2023-02-22 08:13:16,Windows,
U000616,T0001129,2023-12-30 21:09:51,Windows,
U000678,T0001130,2022-05-20 04:21:50,iPhone,"-44.751407,-115.338396"
U000460,T0001131,2022-04-14 10:55:34,,"-27.5389765,89.347063"
U000779,T0001132,2024-02-09 20:43:28,Android,"82.881563,-170.207918"
U000696,T0001133,2022-08-01 01:37:40,iPad,
U000648,T0001134,2024-06-28 08:21:30,Android,"-17.6287845,-68.179356"
U000961,T0001135,2022-01-03 16:16:11,iPhone,"-57.366642,-176.336001"
U000852,T0001136,2024-01-03 20:39:35,Windows,
U000998,T0001137,2024-07-22 20:22:03,Android,"74.5016745,-170.681335"
U000686,T0001138,2025-02-06 21:03:53,,
U000418,T0001139,2024-05-31 05:14:28,Windows,"-74.9168315,-102.959942"
U000649,T0001140,2022-12-25 19:19:16,Windows,"-24.9856515,-96.288556"
U000185,T0001141,2022-04-22 03:35:08,iPad,
U000005,T0001142,2022-01-04 23:42:21,Web,"88.160773,-145.120243"
U000565,T0001143,2025-03-27 15:30:15,Android,
U000080,T0001144,2022-08-25 23:18:15,Mac,
U000850,T0001145,2024-01-06 04:02:38,iPad,
U000722,T0001146,2022-12-02 08:43:12,Windows,"-78.8537925,-179.647106"
U000782,T0001147,2024-12-04 17:42:15,,
U000544,T0001148,2022-03-11 16:55:48,iPad,
U000035,T0001149,2022-12-25 04:05:28,Mac,"51.677319,-126.816498"
U000696,T0001150,2022-08-16 21:01:09,Android,
U000501,T0001151,2024-09-24 08:29:58,iPhone,"59.799198,32.916600"
U000273,T0001152,2022-08-20 08:31:55,iPad,"-33.0831905,68.312275"
U000332,T0001153,2023-10-18 17:30:03,iPad,
U000289,T0001154,2023-10-31 07:04:31,iPad,
U000373,T0001155,2025-09-29 01:04:46,,"13.8810495,-20.093864"
U000464,T0001156,2022-10-19 11:16:06,Android,
U000996,T0001157,2025-02-08 12:38:36,Windows,"-3.5296215,-59.612876"
U000545,T0001158,2022-01-26 00:15:42,,"-20.075003,89.374786"
U000430,T0001159,2025-11-04 14:36:55,,"2.218796,-39.007962"
U000836,T0001160,2022-08-24 01:17:51,iPhone,"88.425752,74.245324"
U000115,T0001161,2025-03-02 02:38:17,iPad,
U000238,T0001162,2023-09-15 19:15:09,Web,
U000294,T0001163,2023-01-17 15:44:43,iPad,"-44.395618,137.490893"
U000062,T0001164,2022-08-31 01:56:11,Mac,
U000208,T0001165,2023-08-03 01:50:47,Android,"-41.664029,-123.891722"
U000229,T0001166,2022-02-04 22:12:56,Web,"5.720205,170.917581"
U000497,T0001167,2023-06-21 15:30:11,iPad,
U000307,T0001168,2023-05-24 06:11:18,Web,
U000875,T0001169,2025-05-15 18:42:29,Mac,"-3.224212,-146.241271"
U000639,T0001170,2024-05-05 22:17:37,Web,
U000463,T0001171,2024-01-31 12:36:48,,
U000895,T0001172,2023-09-09 00:37:31,iPad,"24.0103075,172.143257"
U000654,T0001173,2024-12-20 13:13:15,,
U000844,T0001174,2022-02-01 14:34:54,Android,"-7.974594,161.691923"
U000757,T0001175,2025-05-13 01:20:34,Android,
U000682,T0001176,2025-08-13 00:36:35,Windows,
U000952,T0001177,2023-08-01 21:01:08,Windows,
U000982,T0001178,2025-09-26 08:46:39,iPad,
U000976,T0001179,2024-09-25 23:57:17,Android,
U000668,T0001180,2022-04-29 12:03:24,iPad,"-62.1121955,-25.491478"
U000892,T0001181,2022-09-26 20:48:00,iPad,"51.3487485,-122.819047"
U000889,T0001182,2022-09-13 03:02:37,,
U000184,T0001183,2025-10-01 23:21:51,Web,
U000987,T0001184,2024-09-05 12:10:51,,"64.5121985,-5.283106"
U000523,T0001185,2024-06-23 08:05:04,iPhone,"15.8133485,4.185184"
U000876,T0001186,2025-02-07 22:22:27,Web,
U000889,T0001187,2022-12-01 09:00:06,Mac,
U000285,T0001188,2023-07-05 21:16:31,,"-15.881660,175.288264"
U000552,T0001189,2025-02-11 14:46:33,Android,
U000053,T0001190,2022-08-21 06:11:02,,
U000518,T0001191,2025-05-12 07:55:29,,
U000311,T0001192,2025-06-06 19:57:14,iPhone,
U000833,T0001193,2025-01-05 15:58:45,iPad,
U000849,T0001194,2024-10-24 05:59:28,Mac,"88.2442635,-26.508143"
U000095,T0001195,2022-04-24 23:22:55,,"-69.494945,109.309403"
U000062,T0001196,2023-08-05 20:32:38,Android,"-58.301297,-174.400417"
U000550,T0001197,2024-08-22 06:18:58,Web,"41.456001,105.709778"
U000449,T0001198,2024-10-21 16:24:32,Windows,"8.9322755,125.149282"
U000966,T0001199,2025-11-21 08:52:33,Android,
U000371,T0001200,2024-11-04 11:15:34,Android,"-39.1025725,-158.784993"
U000656,T0001201,2024-04-17 09:38:36,iPad,"-78.0849225,-126.910743"
U000403,T0001202,2022-12-15 10:50:48,iPad,
U000397,T0001203,2023-03-25 00:11:10,,
U000991,T0001204,2023-09-15 20:00:42,Mac,"22.4677305,93.528203"
U000213,T0001205,2025-03-29 06:33:52,iPad,
U000802,T0001206,2023-07-14 15:42:11,,
U000444,T0001207,2023-02-23 20:51:15,Android,
U000228,T0001208,2022-09-16 20:21:48,Windows,
U000063,T0001209,2024-11-13 07:37:23,Windows,
U000788,T0001210,2024-04-22 06:16:43,Android,"-48.994345,-0.554603"
U000537,T0001211,2022-06-22 11:04:49,Web,
U000003,T0001212,2025-11-26 23:55:38,Web,
U000875,T0001213,2025-03-04 22:32:02,Android,
U000078,T0001214,2023-07-17 19:21:55,iPhone,"-68.8420015,30.759480"
U000540,T0001215,2022-05-09 21:37:50,iPhone,
U000425,T0001216,2022-01-05 21:06:41,Windows,
U000913,T0001217,2023-12-11 12:07:33,,
U000453,T0001218,2021-12-09 19:06:54,Windows,
U000650,T0001219,2024-06-11 00:43:54,Windows,
U000924,T0001220,2023-01-10 13:43:58,iPhone,"32.4766165,16.518443"
U000642,T0001221,2025-07-15 12:29:25,Mac,
U000895,T0001222,2022-02-04 22:54:26,Android,"-23.352432,-129.262229"
U000058,T0001223,2024-02-16 03:12:14,Windows,
U000793,T0001224,2022-06-15 18:07:55,Android,
U000868,T0001225,2025-07-22 21:03:12,,
U000704,T0001226,2024-11-03 05:53:33,Android,"-57.5462285,-110.993377"
U000173,T0001227,2025-08-05 21:09:42,Windows,
U000953,T0001228,2022-04-25 15:24:33,iPad,
U000240,T0001229,2023-02-18 08:06:43,Windows,
U000783,T0001230,2023-07-11 21:57:08,,
U000366,T0001231,2025-04-12 06:59:02,iPhone,
U000888,T0001232,2025-07-01 16:21:45,Android,
U000183,T0001233,2024-12-12 00:33:50,,"-2.0621795,-123.543584"
U000982,T0001234,2024-08-18 17:05:32,Mac,
U000186,T0001235,2022-07-06 22:57:15,,"-81.9376755,30.040684"
U000363,T0001236,2023-09-03 22:58:52,,"-65.857223,42.652132"
U000561,T0001237,2023-03-29 08:22:54,,"-14.356274,97.035299"
U000622,T0001238,2025-10-08 03:19:10,Web,"27.703843,-146.168466"
U000778,T0001239,2022-12-12 03:55:05,,"-80.2367465,107.021567"
U000140,T0001240,2024-11-09 23:03:30,Mac,
U000303,T0001241,2024-06-17 04:50:45,Android,"56.1082975,84.443802"
U000173,T0001242,2023-11-04 07:41:23,Windows,"80.932969,149.262169"
U000615,T0001243,2023-12-09 17:39:19,Android,"77.0068745,-16.012795"
U000236,T0001244,2025-03-12 21:03:09,Web,
U000954,T0001245,2022-03-18 04:47:25,Windows,"25.5829855,116.021757"
U000403,T0001246,2025-06-18 02:30:17,Android,"-15.460818,66.901023"
U000159,T0001247,2023-08-04 10:08:02,Mac,"-15.882146,-56.806255"
U000020,T0001248,2025-02-20 15:32:29,,"-34.0856615,13.923765"
U000656,T0001249,2023-03-06 02:14:28,iPhone,
U000252,T0001250,2023-11-14 20:24:10,Mac,"-14.194995,42.477262"
U000832,T0001251,2023-11-29 06:31:08,,"55.0633415,137.133499"
U000279,T0001252,2023-03-10 16:05:51,Mac,"85.4905235,-83.084949"
U000343,T0001253,2025-05-28 18:59:04,Web,
U000217,T0001254,2023-06-20 00:43:41,Android,
U000495,T0001255,2023-10-06 03:09:06,Web,
U000582,T0001256,2022-10-24 03:44:31,,
U000963,T0001257,2025-03-12 13:43:13,Windows,
U000263,T0001258,2022-06-08 17:42:16,Mac,"-39.585166,-128.149342"
U000284,T0001259,2023-07-24 18:34:24,Mac,
U000499,T0001260,2023-08-16 11:53:49,iPad,
U000388,T0001261,2024-06-10 16:46:52,iPhone,
U000388,T0001262,2023-10-03 04:36:49,Web,"-24.205082,158.395002"
U000270,T0001263,2024-09-05 02:20:25,,
U000002,T0001264,2024-02-01 21:27:04,,"4.124122,-0.415977"
U000655,T0001265,2022-08-31 14:21:32,,"-66.4232245,-161.625216"
U000547,T0001266,2024-12-10 04:47:27,,"29.4591065,-103.415947"
U000595,T0001267,2022-11-25 07:36:15,Web,
U000623,T0001268,2024-01-03 20:33:43,Web,
U000136,T0001269,2023-05-06 03:02:07,iPad,
U000573,T0001270,2024-09-28 23:06:47,,"48.766424,36.145812"
U000410,T0001271,2022-01-19 19:50:49,iPhone,
U000855,T0001272,2021-12-10 21:47:49,iPhone,
U000395,T0001273,2023-07-25 23:53:53,Android,"63.126020,-26.937121"
U000528,T0001274,2024-05-12 22:14:16,Mac,
U000640,T0001275,2024-09-08 14:58:06,Web,
U000759,T0001276,2022-06-06 05:04:19,iPad,
U000355,T0001277,2022-01-09 14:26:33,,"-46.7072955,70.114630"
U000480,T0001278,2024-12-17 04:36:53,,"-64.4064985,4.990672"
U000261,T0001279,2025-03-29 02:13:41,Mac,
U000467,T0001280,2025-08-19 09:16:14,Web,"-66.4497585,129.464388"
U000891,T0001281,2025-04-23 18:59:39,iPad,
U000976,T0001282,2023-11-10 03:14:24,Mac,"23.2521295,143.770415"
U000070,T0001283,2022-04-06 02:39:56,Web,"57.783838,168.662608"
U000881,T0001284,2024-12-23 17:58:11,iPad,"-28.007817,-121.611957"
U000395,T0001285,2025-10-10 00:20:14,,"-25.3055925,123.599393"
U000792,T0001286,2025-09-22 14:13:11,iPhone,
U000919,T0001287,2024-09-16 00:37:35,Windows,"3.809697,-56.218476"
U000532,T0001288,2024-05-31 10:28:20,iPhone,
U000691,T0001289,2023-11-22 22:14:48,Web,
U000912,T0001290,2024-05-07 22:48:27,iPad,"-71.7543975,-70.200436"
U000825,T0001291,2022-04-11 21:25:31,,"-51.1705955,150.140129"
U000519,T0001292,2022-01-28 08:52:17,iPad,"68.305092,22.890103"
U000435,T0001293,2024-04-19 23:12:34,Mac,"36.333073,-29.175504"
U000519,T0001294,2025-02-07 10:31:35,Android,
U000072,T0001295,2024-10-27 21:00:25,,
U000451,T0001296,2025-04-22 16:40:27,Windows,
U000114,T0001297,2022-01-18 13:53:34,iPad,
U000164,T0001298,2024-03-28 13:28:00,iPhone,"-7.2922215,-62.918901"
U000789,T0001299,2024-09-13 06:10:20,iPhone,
U000576,T0001300,2024-04-25 14:08:36,Mac,"-32.2149555,-125.494234"
U000169,T0001301,2023-05-25 07:36:37,Windows,"46.722070,179.864059"
U000415,T0001302,2025-04-08 02:27:47,,
U000694,T0001303,2024-06-19 00:55:56,Web,"-67.8357115,-137.919254"
U000731,T0001304,2023-03-15 12:39:12,Windows,"16.595315,63.195353"
U000921,T0001305,2023-12-02 23:34:03,iPhone,"-49.364104,115.122284"
U000414,T0001306,2022-12-28 11:45:55,iPhone,
U000770,T0001307,2023-01-24 08:09:03,Web,
U000868,T0001308,2025-04-16 20:16:45,,"-49.914642,-38.815095"
U000765,T0001309,2022-07-26 18:47:29,iPhone,"-13.0447865,-114.752000"
U000047,T0001310,2024-02-03 00:49:24,,"63.913168,41.861087"
U000053,T0001311,2025-06-15 14:18:49,Web,
U000163,T0001312,2024-04-16 10:17:09,Mac,"-25.056352,51.556612"
U000576,T0001313,2022-02-07 22:10:14,Web,"-27.774434,-170.324304"
U000465,T0001314,2023-01-11 22:29:42,Windows,
U000729,T0001315,2022-10-10 20:47:13,Windows,"1.057190,151.540711"
U000384,T0001316,2024-06-16 18:58:46,,"-23.511575,-9.051475"
U000492,T0001317,2025-08-15 01:36:53,iPad,
U000330,T0001318,2025-09-21 09:44:07,iPad,"-37.533322,111.690847"
U000923,T0001319,2022-07-27 16:06:46,Mac,"-60.605861,13.466810"
U000991,T0001320,2023-02-16 06:08:43,,
U000860,T0001321,2024-05-03 00:22:04,Android,"-70.3386415,97.921026"
U000147,T0001322,2022-03-17 16:10:05,Windows,"65.794715,-167.097339"
U000710,T0001323,2023-06-14 15:52:12,iPad,
U000732,T0001324,2024-09-18 16:13:04,Windows,
U000230,T0001325,2023-02-02 12:50:09,Web,
U000359,T0001326,2022-11-29 09:31:36,iPhone,
U000922,T0001327,2025-03-18 03:33:44,,"64.0005335,176.786469"
U000477,T0001328,2023-04-29 10:43:56,,"10.252784,-131.776847"
U000160,T0001329,2023-02-08 12:55:36,Mac,"-4.1286595,43.525163"
U000480,T0001330,2025-11-02 16:16:40,,
U000334,T0001331,2022-09-23 11:01:26,,"59.5156025,110.872443"
U000183,T0001332,2024-07-17 12:38:06,iPad,
U000939,T0001333,2025-12-01 02:04:26,,
U000645,T0001334,2025-11-28 06:59:30,,"84.0960375,154.048470"
U000408,T0001335,2023-05-16 06:36:08,,"-46.635405,-111.790288"
U000449,T0001336,2025-07-05 23:16:03,,"-19.0344345,-18.687783"
U000974,T0001337,2024-05-08 18:33:19,,"80.571389,15.110487"
U000589,T0001338,2022-12-30 16:18:27,,"-35.0781985,79.825668"
U000280,T0001339,2024-07-14 23:44:30,Android,
U000394,T0001340,2024-01-28 03:34:31,Mac,
U000699,T0001341,2024-04-30 01:51:43,Mac,
U000111,T0001342,2025-06-18 16:25:42,Windows,
U000190,T0001343,2024-08-23 18:10:17,iPhone,
U000232,T0001344,2023-10-26 20:10:04,,
U000689,T0001345,2022-08-10 04:21:41,,"50.618457,119.551888"
U000450,T0001346,2023-10-23 04:59:10,,
U000754,T0001347,2025-03-27 00:44:33,Web,
U000117,T0001348,2023-12-20 09:04:01,iPad,"-24.8343535,141.894048"
U000343,T0001349,2024-01-23 07:37:06,Android,"76.9345155,133.204297"
U000445,T0001350,2024-10-06 10:18:14,,"4.621996,-90.851163"
U000246,T0001351,2024-12-18 17:47:58,Mac,
U000230,T0001352,2023-02-19 07:14:31,,
U000455,T0001353,2024-12-09 22:49:45,Windows,"77.7484775,-135.252945"
U000341,T0001354,2025-11-23 22:15:57,Android,
U000031,T0001355,2022-09-01 01:44:13,Windows,
U000510,T0001356,2025-05-12 19:26:10,,"-87.1581255,92.061880"
U000969,T0001357,2025-04-26 10:33:33,Mac,
U000817,T0001358,2025-07-02 01:11:05,iPhone,
U000951,T0001359,2022-07-02 09:34:30,Mac,"-81.6881925,-59.120907"
U000560,T0001360,2022-01-17 15:05:57,Windows,
U000575,T0001361,2023-02-17 03:55:11,Android,"13.423950,-85.141904"
U000442,T0001362,2024-05-03 13:39:48,,
U000682,T0001363,2024-05-25 01:14:36,Web,
U000975,T0001364,2023-03-11 06:55:41,iPad,"34.4407665,118.967371"
U000887,T0001365,2024-10-13 03:20:00,iPad,"-87.796983,-134.965686"
U000343,T0001366,2022-10-07 05:00:44,Android,
U000784,T0001367,2025-10-05 13:53:06,,"2.9847815,138.923268"
U000640,T0001368,2023-04-30 05:13:40,iPad,"6.2394705,129.728141"
U000961,T0001369,2024-06-12 08:13:39,iPhone,
U000079,T0001370,2022-01-19 13:59:08,Windows,"2.6000365,166.149401"
U000344,T0001371,2024-07-27 00:31:05,Android,
U000268,T0001372,2023-03-29 00:58:58,iPad,
U000098,T0001373,2022-12-16 18:56:52,iPhone,
U000111,T0001374,2022-10-07 22:54:27,,
U000045,T0001375,2023-03-16 10:02:04,Mac,"73.817298,3.769999"
U000258,T0001376,2025-03-04 09:59:03,Web,"12.792951,25.752945"
U000886,T0001377,2023-02-09 14:56:38,Windows,"-77.2098435,-63.553118"
U000916,T0001378,2023-03-11 23:08:20,iPhone,
U000256,T0001379,2025-10-25 17:38:34,,
U000332,T0001380,2023-08-17 16:06:37,,"-5.119370,-119.647772"
U000560,T0001381,2025-08-27 09:05:24,,
U000730,T0001382,2023-03-22 19:38:40,Web,"-79.6636675,-28.905861"
U000759,T0001383,2023-09-12 17:12:18,,
U000972,T0001384,2022-02-27 07:52:41,Web,"26.0044665,146.368181"
U000844,T0001385,2022-10-21 02:21:29,Mac,"79.4134575,-83.642516"
U000985,T0001386,2023-05-13 01:48:22,,
U000719,T0001387,2023-11-19 16:28:11,Web,
U000984,T0001388,2022-06-19 04:31:13,Android,"-9.9582595,59.189023"
U000928,T0001389,2022-04-25 17:45:11,iPad,"31.4711715,-80.821313"
U000148,T0001390,2022-10-26 14:59:27,Android,"39.293748,148.380568"
U000356,T0001391,2023-01-12 16:01:22,Android,
U000469,T0001392,2023-03-11 04:42:45,Web,"-40.6613045,-59.926933"
U000803,T0001393,2023-08-11 02:45:37,Mac,"32.056388,-9.489838"
U000614,T0001394,2024-03-18 05:41:19,,
U000001,T0001395,2024-06-30 14:20:57,iPhone,"44.9002955,79.964972"
U000444,T0001396,2025-11-30 21:50:54,Windows,
U000893,T0001397,2021-12-07 11:38:41,,
U000872,T0001398,2025-03-13 10:44:07,Mac,"-23.485694,68.965075"
U000293,T0001399,2024-12-17 08:18:41,,
U000950,T0001400,2025-07-01 21:46:09,Windows,"-0.2596355,-142.486162"
U000103,T0001401,2025-07-19 08:42:54,Web,
U000897,T0001402,2025-09-05 05:37:23,Mac,"11.3040625,-30.668989"
U000909,T0001403,2024-03-04 01:28:52,,
U000484,T0001404,2024-06-08 02:56:40,Web,"12.133169,-21.239512"
U000566,T0001405,2025-07-03 06:02:14,iPad,
U000424,T0001406,2023-07-25 08:46:25,,
U000373,T0001407,2024-04-23 00:59:25,Web,
U000407,T0001408,2023-07-06 05:17:10,,"66.737268,-118.435127"
U000876,T0001409,2025-10-23 00:21:20,Mac,
U000038,T0001410,2023-06-17 05:48:40,Web,
U000286,T0001411,2025-03-27 23:04:07,Windows,"7.073758,116.831790"
U000362,T0001412,2025-11-13 21:49:51,Mac,
U000444,T0001413,2022-09-02 05:58:51,Web,
U000380,T0001414,2023-10-14 22:22:46,Mac,
U000470,T0001415,2025-02-06 09:19:51,Android,
U000242,T0001416,2023-12-03 20:58:49,,
U000928,T0001417,2023-03-10 04:43:50,Mac,
U000721,T0001418,2022-07-09 21:56:58,Web,"-5.973834,32.951752"
U000482,T0001419,2025-02-24 01:47:44,,"-43.7738685,-177.897481"
U000916,T0001420,2023-09-05 13:28:48,iPhone,"-43.0872795,-39.381541"
U000695,T0001421,2023-06-06 21:22:04,iPad,
U000889,T0001422,2024-06-12 03:56:42,Android,"84.099772,-77.829395"
U000586,T0001423,2022-06-01 02:02:06,iPad,
U000219,T0001424,2024-12-15 06:55:35,Windows,
U000075,T0001425,2024-05-15 06:38:46,,
U000754,T0001426,2025-04-12 14:30:13,Mac,
U000438,T0001427,2025-10-12 17:03:29,Mac,"86.318397,-174.592992"
U000433,T0001428,2023-07-28 20:18:05,Windows,
U000650,T0001429,2022-05-14 01:27:15,,
U000082,T0001430,2024-06-14 16:15:33,iPhone,
U000522,T0001431,2022-05-04 12:45:01,Windows,
U000404,T0001432,2025-01-31 17:13:19,,
U000481,T0001433,2023-10-25 20:52:15,Mac,"-11.368942,-101.596274"
U000193,T0001434,2024-05-25 21:53:18,Windows,"30.7063165,-113.385243"
U000333,T0001435,2021-12-18 06:01:33,Android,"14.411057,-14.332435"
U000271,T0001436,2022-01-19 08:21:10,,"-27.628814,-164.165330"
U000462,T0001437,2024-05-12 22:51:07,iPad,
U000691,T0001438,2024-09-21 12:38:24,Android,"-22.7232215,110.190459"
U000534,T0001439,2024-09-27 13:09:51,Web,
U000539,T0001440,2025-10-28 21:52:20,iPhone,
U000544,T0001441,2025-04-08 16:01:33,iPad,"-16.0583825,26.787123"
U000556,T0001442,2024-01-08 02:02:14,Web,
U000777,T0001443,2025-05-10 22:36:54,Windows,
U000705,T0001444,2024-01-09 09:32:35,Mac,"-15.7320885,-107.341907"
U000680,T0001445,2025-04-07 23:29:21,Mac,
U000058,T0001446,2024-10-17 00:19:50,Mac,"9.937078,45.738669"
U000251,T0001447,2024-09-06 04:58:51,Android,"12.052434,-77.366208"
U000661,T0001448,2022-04-12 12:12:38,Android,"73.5453585,-77.022980"
U000318,T0001449,2023-10-01 09:21:44,iPad,"-80.3357145,-127.031374"
U000486,T0001450,2024-09-07 16:42:04,Web,
